time_from_start,number_of_rows_finished
0,0
16.761720418930054,26
16.786527156829834,52
17.469262838363647,78
17.582668781280518,104
17.603846549987793,130
17.65730571746826,156
18.344194889068604,182
18.40506863594055,208
18.42479658126831,234
18.475144863128662,260
19.22755789756775,286
19.260403156280518,312
19.298063039779663,338
19.313194274902344,364
20.114030838012695,390
20.129426956176758,416
20.15079951286316,442
20.181472778320312,468
20.998229265213013,494
21.00705862045288,520
21.01974129676819,546
21.07798981666565,572
21.831364393234253,598
21.837112426757812,624
21.846235513687134,650
21.953509092330933,676
22.66500949859619,702
22.682804346084595,728
22.68349552154541,754
22.86276650428772,780
23.518993377685547,806
23.54760766029358,832
23.616027355194092,858
23.762022733688354,884
24.371215343475342,910
24.382914066314697,936
24.485427141189575,962
24.701099157333374,988
25.217586278915405,1014
25.26116943359375,1040
25.32183051109314,1066
25.564565896987915,1092
26.063271522521973,1118
26.14733600616455,1144
26.15575075149536,1170
26.4441921710968,1196
26.9345064163208,1222
26.999485731124878,1248
27.049415349960327,1274
27.346909284591675,1300
27.765374898910522,1326
27.83536672592163,1352
27.902403593063354,1378
28.213444709777832,1404
28.608093976974487,1430
28.70598554611206,1456
28.748183965682983,1482
29.116732835769653,1508
29.446642875671387,1534
29.54087519645691,1560
29.658109188079834,1586
29.80251431465149,1606
30.096499919891357,1626
30.18850803375244,1646
30.502902269363403,1672
30.66322660446167,1698
30.931334495544434,1724
31.053985357284546,1751
31.165681838989258,1771
31.588307857513428,1798
31.80720853805542,1825
31.905507802963257,1852
31.993820905685425,1878
32.48137140274048,1905
32.49807786941528,1925
32.67591643333435,1946
32.738024950027466,1972
33.378955364227295,1999
33.39226174354553,2027
33.56127309799194,2055
33.633108377456665,2082
34.101428270339966,2102
34.29770588874817,2129
34.39892220497131,2155
34.48939490318298,2182
34.95708680152893,2208
35.144341707229614,2234
35.23710894584656,2260
35.32064867019653,2286
35.972705602645874,2312
35.98774981498718,2332
35.99540138244629,2358
36.06365728378296,2384
36.808025598526,2410
36.823617458343506,2436
36.890284061431885,2462
36.91654419898987,2488
37.64917850494385,2514
37.65621209144592,2540
37.752869606018066,2566
37.819077253341675,2592
38.4945342540741,2618
38.503273248672485,2644
38.613653898239136,2670
38.69525909423828,2696
39.322484493255615,2722
39.344971656799316,2748
39.49653625488281,2774
39.658944845199585,2800
40.15442633628845,2826
40.17991042137146,2852
40.330730676651,2878
40.51386594772339,2904
41.005547523498535,2930
41.02682280540466,2956
41.19765043258667,2982
41.38049912452698,3008
41.841670989990234,3034
41.87812852859497,3060
42.0337347984314,3086
42.25360655784607,3112
42.6747350692749,3138
42.72567415237427,3164
42.8742573261261,3190
43.194693088531494,3216
43.49839997291565,3242
43.563499212265015,3268
43.71811556816101,3294
44.07093024253845,3320
44.352858781814575,3346
44.4079909324646,3372
44.55085372924805,3398
44.94255328178406,3424
45.177682876586914,3450
45.23834729194641,3476
45.39124059677124,3502
45.79334259033203,3528
46.00214672088623,3554
46.07959342002869,3580
46.223212480545044,3606
46.673195123672485,3626
46.67872595787048,3652
46.73136496543884,3672
47.09132409095764,3699
47.341084718704224,3719
47.50710129737854,3745
47.588011503219604,3771
47.749807596206665,3791
48.161593437194824,3811
48.25119066238403,3837
48.41030406951904,3863
48.61388921737671,3889
48.98841714859009,3915
49.15433692932129,3942
49.28170824050903,3969
49.3077347278595,3990
49.846415996551514,4017
49.94261908531189,4037
49.987813234329224,4057
50.136839389801025,4084
50.76935958862305,4112
50.823063135147095,4138
50.829598903656006,4165
51.07439732551575,4192
51.48493552207947,4212
51.62986779212952,4239
51.70475435256958,4265
51.93569850921631,4291
52.39993691444397,4317
52.502492904663086,4344
52.547516107559204,4370
53.03474497795105,4396
53.21799182891846,4416
53.235835790634155,4442
53.332404375076294,4468
53.93198537826538,4494
54.018324851989746,4514
54.05386447906494,4540
54.08032560348511,4566
54.8612859249115,4592
54.886232137680054,4618
54.90907549858093,4644
54.935481786727905,4670
55.59883737564087,4690
55.69615077972412,4716
55.717768907547,4742
55.76317286491394,4768
56.47297692298889,4794
56.528693199157715,4820
56.55567526817322,4846
56.59490752220154,4872
57.36716079711914,4898
57.38586926460266,4924
57.4114625453949,4950
57.45955562591553,4976
58.21679735183716,5002
58.24806785583496,5028
58.25579333305359,5054
58.29427909851074,5080
59.050485134124756,5106
59.092673778533936,5132
59.11823773384094,5158
59.13946580886841,5184
59.93411135673523,5210
59.94554877281189,5236
60.01207661628723,5262
60.04788637161255,5288
