time_from_start,number_of_rows_finished
10342.223396757,0
10362.433893741,32
10363.364636007,64
10363.987816928,96
10364.906149705,128
10366.363625807,160
10367.292172854,192
10368.726583018,224
10369.648935666,256
10370.494310035,288
10371.112091555,320
10372.974857791,352
10373.809371396,384
10374.636832585,416
10375.356217883,448
10376.901836084,480
10377.725169263,512
10378.654464805,544
10380.085745097,576
10381.113435978,608
10381.939587296,640
10383.588986254,672
10384.422279908,704
10385.246681395,736
10386.199763502,768
10387.847655556,800
10388.786471287,832
10389.41380923,864
10390.344185944,896
10391.801928417,928
10392.62977656,960
10393.362372834,992
10395.023152784,1024
10395.851524279,1056
10396.469942505,1088
10397.491704572,1120
10398.727144859,1152
10399.655248427,1184
10400.582781041,1216
10401.639284496,1248
10402.55581878,1280
10403.385109923,1312
10404.224168727,1344
10405.78993593,1376
10406.420330052,1408
10408.390557474,1440
10409.309761851,1472
10410.146097751,1504
10410.959483796,1536
10411.88286695,1568
10412.913875734,1600
10413.840222139,1632
10415.486089268,1664
10416.318111874,1696
10417.357933842,1728
10418.180256023,1760
10419.942560435,1792
10420.7614872,1824
10421.584503936,1856
10422.229293147,1888
10423.86774526,1920
10424.688058826,1952
10425.720556112,1984
10426.546866871,2016
10428.194157321,2048
10429.115159261,2080
10429.735698783,2112
10431.311236545,2144
10431.932744032,2176
10433.67008161,2208
10434.382087216,2240
10435.515554788,2272
10436.541169516,2304
10437.361202921,2336
10438.29589084,2368
10439.871819964,2400
10440.777327346,2432
10441.807686429,2464
10442.834378261,2496
10443.668746264,2528
10445.33396492,2560
10446.167650768,2592
10446.982985638,2624
10447.607081736,2656
10449.141421044,2688
10450.069514652,2720
10450.685863488,2752
10452.444495192,2784
10453.378644496,2816
10454.203877324,2848
10456.073372888,2880
10456.685459258,2912
10457.507991775,2944
10458.420837022,2976
10459.859397738,3008
10460.782652508,3040
10461.613137213,3072
10463.169813038,3104
10463.803594854,3136
10465.553508289,3168
10466.381888719,3200
10467.207601039,3232
10468.961481764,3264
10469.588842535,3296
10470.518597405,3328
10472.275561899,3360
10473.099299045,3392
10473.71714984,3424
10475.266857603,3456
10476.08584677,3488
10477.009715747,3520
10478.544758327,3552
10479.364505354,3584
10480.211621427,3616
10481.72177925,3648
10482.647581286,3680
10483.463985791,3712
10485.213800782,3744
10486.057339355,3776
10486.779566961,3808
10487.389419179,3840
10489.156520898,3872
10489.789156807,3904
10491.75113491,3936
10492.810244921,3968
10493.542397469,4000
10494.363832157,4032
10495.296079744,4064
