time_from_start,number_of_rows_finished
39776.892457161,0
39798.327124029,32
39799.255247047,64
39800.182970647,96
39801.10863547,128
39802.744799202,160
39803.462841264,192
39804.271795887,224
39805.7043788,256
39806.615985713,288
39807.550253421,320
39808.472132868,352
39809.396392788,384
39811.15105152,416
39811.8895684,448
39812.702420024,480
39814.340189252,512
39814.962199661,544
39815.890140925,576
39817.525913418,608
39818.346450795,640
39819.261647591,672
39820.08362891,704
39820.704914122,736
39822.453539225,768
39823.367678308,800
39823.996739505,832
39824.827776618,864
39826.274444116,896
39827.205825157,928
39828.742224673,960
39829.565245939,992
39830.179443908,1024
39831.102267948,1056
39832.735066997,1088
39833.355743514,1120
39834.285666226,1152
39835.319384438,1184
39835.958556829,1216
39836.784254931,1248
39838.654811753,1280
39839.494995597,1312
39840.334156128,1344
39841.380269326,1376
39842.40692052,1408
39843.253853309,1440
39844.914792849,1472
39845.952608379,1504
39846.786354047,1536
39847.609311402,1568
39849.571870609,1600
39850.4944985,1632
39851.420315901,1664
39852.246344846,1696
39853.272855854,1728
39854.106257331,1760
39855.976818752,1792
39856.58859508,1824
39857.512350375,1856
39858.343919103,1888
39859.906334538,1920
39860.843891953,1952
39861.662569312,1984
39862.495555527,2016
39864.044996173,2048
39864.866701049,2080
39865.698863016,2112
39867.671532639,2144
39868.421848129,2176
39869.240429926,2208
39869.977641246,2240
39871.52832966,2272
39872.354446034,2304
39873.483888466,2336
39874.412247347,2368
39875.235400175,2400
39876.785731401,2432
39877.614457922,2464
39878.631629625,2496
39879.639539753,2528
39881.081202199,2560
39881.701676792,2592
39882.625931352,2624
39884.400281076,2656
39885.030868231,2688
39885.962336021,2720
39887.821199881,2752
39888.656755383,2784
39889.493649544,2816
39890.120129189,2848
39891.977659161,2880
39892.610366643,2912
39894.146843576,2944
39895.068439846,2976
39895.689776576,3008
39897.430191596,3040
39898.055609493,3072
39898.880489831,3104
39900.431260768,3136
39901.248268569,3168
39901.876628029,3200
39903.633749343,3232
39904.3614642,3264
39905.302750759,3296
39906.847593251,3328
39907.566951306,3360
39909.037844315,3392
39909.963957084,3424
39910.791711711,3456
39912.321344744,3488
39913.145721499,3520
39913.793921155,3552
39915.544076002,3584
39916.15907484,3616
39916.98320252,3648
39918.323639407,3680
39919.139850528,3712
39920.897979972,3744
39921.711464574,3776
39922.440789593,3808
39923.252634549,3840
39925.002129812,3872
39926.035358575,3904
39926.996914119,3936
39927.8370333,3968
39928.680745398,4000
39930.542036291,4032
