time_from_start,number_of_rows_finished
38821.747603712,0
38839.59780388824,26
38842.28657418243,52
38845.209496555246,78
38847.09450131408,104
38850.47764760009,131
38854.19164257995,157
38856.507675704874,183
38860.450623807825,209
38862.61219388,236
38865.72636085502,262
38868.03972202293,288
38870.366483507074,314
38872.58278780929,334
38874.61724954597,360
38877.55764847747,380
38881.2824314212,406
38884.41753178588,432
38888.052236614145,452
38889.78387886039,478
38892.410987434305,498
38895.15388256065,524
38897.68210965148,550
38900.505859908975,570
38902.22011834136,596
38904.74186950675,616
38907.67706233016,642
38910.916824874796,668
38913.43490272514,688
38915.166016158975,714
38918.70305448524,734
38922.361387309946,760
38925.01059871665,786
38926.43444210044,812
38930.22264748565,839
38933.20665889732,865
38935.74047046653,891
38938.56522851936,917
38942.556797323145,944
38945.354234275736,970
38948.09433370582,996
38951.018127260126,1022
38954.84112888328,1042
38957.07122713081,1068
38960.29613190643,1088
38963.53598671905,1114
38966.162220535196,1140
38969.28451019279,1160
38971.93141394607,1186
38974.559035596765,1206
38976.90497618667,1232
38978.30527311317,1258
38981.84721427909,1278
38984.683084306635,1304
38987.395461616434,1324
38990.55810409538,1350
38991.964062271036,1376
38994.4709683036,1396
38997.72225218765,1422
38999.35112267486,1442
39002.59542542449,1468
39005.7139168357,1488
39008.55746441833,1514
39010.795194444574,1540
39013.403394517816,1560
39016.64316969863,1586
39018.66421276084,1612
39020.98532777778,1632
39023.52260452262,1658
39025.84645682327,1678
39029.491048631586,1704
39031.5134738063,1730
39034.03630357734,1750
39036.471703586496,1776
39038.78050261489,1796
39042.644380865015,1822
39046.175357160486,1848
39048.90477949134,1868
39052.24380689613,1894
39054.75665336601,1914
39056.98625784866,1940
39059.423557100214,1966
39061.9375572776,1986
39063.677090463556,2012
39066.2962072467,2032
39069.94768339149,2058
39072.973972377695,2084
39074.38075834266,2110
39077.764316615976,2137
39080.47469597808,2163
39084.19757300369,2189
39087.04514962188,2215
39090.31254154197,2242
39092.80159622184,2268
39096.63534813873,2294
39099.77272301666,2320
39101.998264131464,2340
39104.32916980735,2360
39107.45090013496,2386
39110.292321500696,2412
39112.70859032623,2438
39114.72178488723,2458
39117.46137505523,2478
39120.602694091715,2504
39123.379648504175,2530
39126.511635360635,2556
39128.53799038879,2576
39130.67856007568,2602
39133.186854419626,2622
39135.82705908767,2648
39137.835050401605,2674
39139.963252124704,2694
39142.397050437845,2714
39145.52910667411,2740
39148.664739427484,2766
39151.72330409042,2792
39153.84688120834,2812
39156.693496045984,2838
39159.52580696098,2858
39162.55542427055,2884
39163.87773471824,2910
39166.89877825729,2930
39170.34423500053,2956
39172.96671825401,2976
39175.49672823898,3002
39178.0444646453,3028
39180.86338001243,3048
39182.78933459274,3074
39185.51027661315,3094
39189.2584999179,3120
39191.48168498031,3146
39194.30782538406,3166
39196.64113694183,3192
39200.16745644561,3212
39203.418803272165,3238
39206.03778868667,3264
39208.56807738296,3284
39210.894486484445,3310
39213.02398282043,3330
39216.28839617721,3356
39217.887590227045,3382
39220.70348411552,3402
39223.44734459869,3428
39225.6662102317,3448
39228.50748473159,3474
39230.12625771514,3500
39233.349861678995,3520
39236.09335499755,3546
39238.80857330314,3566
39242.26275378219,3592
39244.19302326194,3618
39246.498703536905,3638
39249.142234620966,3664
39251.56839114181,3684
39254.32212453834,3710
39255.840270576395,3736
39258.05506497375,3756
39260.7970285987,3782
39263.10494452468,3802
39265.552837190546,3828
39267.157186803735,3848
39269.6939466571,3874
39272.83576923362,3900
39276.05957036964,3920
39278.7916029071,3946
39280.427274999536,3972
39283.23309617988,3992
39285.57255369178,4018
39287.66851740829,4038
39290.61741906158,4064
39293.53742581359,4090
39295.46083193771,4110
39297.47732740394,4130
39300.73194962493,4156
39303.568242368616,4182
39306.299999771036,4208
39308.41470843307,4228
39311.03573280326,4248
39314.88428073875,4274
39318.11272340766,4300
39320.95795565597,4326
39324.97895222656,4346
39326.6168008422,4372
39329.34074908248,4392
39332.79245215408,4418
39335.723678884424,4444
39338.02938896171,4464
39340.97255354873,4490
39343.39544373504,4510
39346.53235202781,4536
39349.1643033599,4562
39351.486004886545,4582
39353.413368282236,4602
39356.857202825464,4628
39359.28866106025,4654
39362.43211465827,4680
39363.443314609445,4700
39366.06886082641,4720
39369.622813997186,4746
39372.85383921615,4772
39376.10409933082,4798
39377.2234013652,4824
39380.60086613647,4851
39383.69647222511,4877
39386.741532144464,4903
39388.57689958564,4929
39391.40016251556,4949
39393.92168694488,4969
39396.35170346252,4995
39400.10025220863,5021
39402.418912467874,5047
39405.31863957397,5074
39408.026037273325,5100
39410.54087954513,5126
39412.96839600555,5152
39414.187862930215,5178
39418.16449123374,5205
39421.445816574014,5231
39424.081687984384,5257
39425.48729067794,5283
39430.99974995605,5310
39433.703595456995,5336
39436.32246190063,5362
39439.25469237319,5388
39440.566091594614,5414
39444.14858513824,5441
39446.73719507209,5467
39450.17311650268,5493
39452.71407299987,5519
39455.78687745086,5546
39458.57709556571,5572
39461.80346256248,5598
39464.33115964881,5624
39465.75880938522,5650
39470.3330278968,5677
39473.73307043067,5703
39475.95795017234,5729
39478.61150794975,5755
39481.57739597312,5782
39484.67242794982,5808
39489.500520524896,5834
39492.13133531562,5860
39493.64687186233,5886
39497.336421308435,5913
39500.13748198501,5939
39502.759732541956,5965
39504.07208138458,5991
39506.29378396026,6011
39508.727943954385,6031
39511.55378132812,6057
39513.88678604118,6083
39515.30175047866,6109
39517.51267510406,6129
39520.45785647384,6149
39523.20703631393,6175
39525.93929892532,6201
39527.45078545562,6227
39529.46348410598,6247
39532.202080306924,6267
39535.06370764724,6293
39537.47384720794,6319
39538.58530980102,6345
39541.715814170755,6365
39544.72294908515,6385
39547.164519367136,6411
39549.68576961509,6437
39552.202660617746,6463
39556.304641065515,6490
39559.205539998926,6516
39561.52975302688,6542
39564.56014615051,6568
39565.65868955604,6588
39568.51017147056,6608
39572.14699703208,6634
39574.88112026206,6660
39578.53025799743,6686
39580.249176559366,6706
39582.56412178031,6726
39585.40954309455,6752
39587.946643648065,6778
39590.078367051996,6804
39591.29160147659,6824
39593.4020250415,6844
39596.753380117334,6870
39599.99338513366,6896
39603.63431340209,6922
39605.041259584345,6942
39608.0691545581,6962
39611.03407031051,6988
39614.66532760612,7014
39618.404116210855,7040
39620.42450552932,7066
39625.3233059024,7093
39627.82129174224,7119
