num_rows_in_block,duration_s
1,84.5572521686554
2,62.60961127281189
4,52.042343854904175
8,36.00739049911499
16,32.76410746574402
32,30.122849702835083
64,29.180481433868408
128,29.577149391174316
256,31.33970308303833
512,34.02229189872742
1024,49.8162796497345
